,SPGI
1983-02-03,0.124974
1983-02-04,0.124559
1983-02-07,0.124559
1983-02-08,0.124559
1983-02-09,0.123728
1983-02-10,0.125804
1983-02-11,0.124766
1983-02-14,0.125182
1983-02-15,0.122898
1983-02-16,0.124559
1983-02-17,0.126635
1983-02-18,0.133486
1983-02-22,0.131617
1983-02-23,0.131202
1983-02-24,0.133486
1983-02-25,0.133693
1983-02-28,0.134939
1983-03-01,0.140336
1983-03-02,0.144073
1983-03-03,0.149471
1983-03-04,0.149471
1983-03-07,0.146149
1983-03-08,0.146149
1983-03-09,0.148225
1983-03-10,0.14864
1983-03-11,0.145734
1983-03-14,0.143658
1983-03-15,0.141997
1983-03-16,0.143658
1983-03-17,0.146149
1983-03-18,0.146149
1983-03-21,0.150716
1983-03-22,0.152792
1983-03-23,0.157775
1983-03-24,0.156114
1983-03-25,0.155283
1983-03-28,0.152377
1983-03-29,0.154868
1983-03-30,0.156114
1983-03-31,0.154868
1983-04-04,0.154453
1983-04-05,0.152377
1983-04-06,0.144903
1983-04-07,0.146149
1983-04-08,0.145319
1983-04-11,0.145319
1983-04-12,0.146149
1983-04-13,0.152792
1983-04-14,0.156529
1983-04-15,0.158605
1983-04-18,0.156944
1983-04-19,0.156944
1983-04-20,0.15819
1983-04-21,0.160266
1983-04-22,0.164418
1983-04-25,0.162342
1983-04-26,0.159851
1983-04-27,0.159435
1983-04-28,0.162757
1983-04-29,0.162342
1983-05-02,0.160266
1983-05-03,0.153623
1983-05-04,0.150716
1983-05-05,0.152792
1983-05-06,0.152792
1983-05-09,0.152792
1983-05-10,0.154868
1983-05-11,0.155283
1983-05-12,0.154038
1983-05-13,0.154661
1983-05-16,0.154038
1983-05-17,0.152792
1983-05-18,0.152792
1983-05-19,0.151131
1983-05-20,0.150301
1983-05-23,0.150301
1983-05-24,0.152792
1983-05-25,0.150509
1983-05-26,0.151547
1983-05-27,0.151131
1983-05-31,0.151339
1983-06-01,0.149055
1983-06-02,0.143658
1983-06-03,0.149471
1983-06-06,0.154453
1983-06-07,0.154038
1983-06-08,0.149471
1983-06-09,0.151547
1983-06-10,0.158605
1983-06-13,0.165248
1983-06-14,0.171891
1983-06-15,0.1694
1983-06-16,0.174382
1983-06-17,0.175213
1983-06-20,0.1694
1983-06-21,0.172722
1983-06-22,0.172306
1983-06-23,0.171061
1983-06-24,0.170231
1983-06-27,0.165248
1983-06-28,0.164418
1983-06-29,0.164418
1983-06-30,0.159851
1983-07-01,0.159435
1983-07-05,0.157775
1983-07-06,0.159435
1983-07-07,0.155699
1983-07-08,0.153207
1983-07-11,0.156114
1983-07-12,0.151131
1983-07-13,0.152792
1983-07-14,0.150301
1983-07-15,0.146149
1983-07-18,0.14864
1983-07-19,0.146979
1983-07-20,0.152792
1983-07-21,0.157359
1983-07-22,0.159435
1983-07-25,0.158605
1983-07-26,0.15819
1983-07-27,0.156944
1983-07-28,0.149471
1983-07-29,0.146149
1983-08-01,0.140752
1983-08-02,0.139506
1983-08-03,0.1366
1983-08-04,0.136184
1983-08-05,0.137015
1983-08-08,0.132863
1983-08-09,0.133278
1983-08-10,0.139091
1983-08-11,0.1366
1983-08-12,0.139506
1983-08-15,0.142828
1983-08-16,0.143243
1983-08-17,0.139921
1983-08-18,0.137845
1983-08-19,0.136184
1983-08-22,0.133693
1983-08-23,0.13743
1983-08-24,0.134523
1983-08-25,0.138676
1983-08-26,0.138676
1983-08-29,0.139506
1983-08-30,0.141997
1983-08-31,0.146979
1983-09-01,0.143243
1983-09-02,0.146979
1983-09-06,0.162757
1983-09-07,0.159435
1983-09-08,0.15902
1983-09-09,0.154868
1983-09-12,0.14864
1983-09-13,0.146149
1983-09-14,0.14864
1983-09-15,0.151131
1983-09-16,0.15819
1983-09-19,0.157359
1983-09-20,0.160266
1983-09-21,0.164418
1983-09-22,0.166494
1983-09-23,0.164833
1983-09-26,0.165248
1983-09-27,0.163172
1983-09-28,0.166909
1983-09-29,0.167324
1983-09-30,0.165663
1983-10-03,0.161927
1983-10-04,0.159851
1983-10-05,0.161511
1983-10-06,0.163172
1983-10-07,0.166909
1983-10-10,0.167324
1983-10-11,0.160266
1983-10-12,0.160266
1983-10-13,0.161511
1983-10-14,0.15902
1983-10-17,0.15819
1983-10-18,0.155283
1983-10-19,0.151131
1983-10-20,0.149886
1983-10-21,0.151131
1983-10-24,0.147395
1983-10-25,0.142412
1983-10-26,0.146149
1983-10-27,0.146979
1983-10-28,0.146149
1983-10-31,0.146149
1983-11-01,0.144073
1983-11-02,0.145734
1983-11-03,0.142828
1983-11-04,0.145319
1983-11-07,0.14781
1983-11-08,0.147395
1983-11-09,0.144488
1983-11-10,0.146149
1983-11-11,0.14781
1983-11-14,0.149055
1983-11-15,0.151547
1983-11-16,0.154868
1983-11-17,0.155283
1983-11-18,0.156114
1983-11-21,0.154453
1983-11-22,0.146979
1983-11-23,0.146149
1983-11-25,0.144073
1983-11-28,0.144903
1983-11-29,0.144488
1983-11-30,0.146149
1983-12-01,0.144903
1983-12-02,0.146564
1983-12-05,0.14781
1983-12-06,0.149471
1983-12-07,0.150301
1983-12-08,0.146149
1983-12-09,0.143658
1983-12-12,0.143243
1983-12-13,0.140752
1983-12-14,0.141167
1983-12-15,0.134523
1983-12-16,0.139921
1983-12-19,0.144903
1983-12-20,0.144488
1983-12-21,0.140336
1983-12-22,0.138676
1983-12-23,0.140752
1983-12-27,0.143243
1983-12-28,0.143658
1983-12-29,0.143658
1983-12-30,0.140336
1984-01-03,0.141167
1984-01-04,0.140752
1984-01-05,0.149055
1984-01-06,0.146979
1984-01-09,0.146149
1984-01-10,0.144488
1984-01-11,0.142828
1984-01-12,0.141167
1984-01-13,0.142412
1984-01-16,0.142828
1984-01-17,0.142828
1984-01-18,0.142828
1984-01-19,0.136184
1984-01-20,0.134939
1984-01-23,0.132032
1984-01-24,0.132032
1984-01-25,0.132448
1984-01-26,0.133278
1984-01-27,0.128711
1984-01-30,0.122898
1984-01-31,0.132032
1984-02-01,0.128296
1984-02-02,0.126635
1984-02-03,0.123313
1984-02-06,0.12622
1984-02-07,0.122898
1984-02-08,0.114594
1984-02-09,0.122483
1984-02-10,0.119577
1984-02-13,0.119161
1984-02-14,0.1175
1984-02-15,0.120407
1984-02-16,0.123313
1984-02-17,0.124144
1984-02-21,0.124559
1984-02-22,0.123728
1984-02-23,0.121652
1984-02-24,0.12622
1984-02-27,0.128711
1984-02-28,0.12788
1984-02-29,0.130372
1984-03-01,0.128711
1984-03-02,0.129956
1984-03-05,0.129956
1984-03-06,0.122898
1984-03-07,0.120822
1984-03-08,0.122068
1984-03-09,0.122068
1984-03-12,0.122898
1984-03-13,0.124974
1984-03-14,0.127465
1984-03-15,0.12705
1984-03-16,0.130372
1984-03-19,0.127465
1984-03-20,0.124974
1984-03-21,0.123313
1984-03-22,0.120407
1984-03-23,0.114179
1984-03-26,0.1175
1984-03-27,0.116255
1984-03-28,0.119577
1984-03-29,0.122483
1984-03-30,0.123728
1984-04-02,0.125804
1984-04-03,0.12622
1984-04-04,0.12622
1984-04-05,0.121237
1984-04-06,0.124974
1984-04-09,0.124144
1984-04-10,0.122068
1984-04-11,0.124144
1984-04-12,0.124974
1984-04-13,0.129126
1984-04-16,0.130787
1984-04-17,0.131202
1984-04-18,0.134939
1984-04-19,0.134939
1984-04-23,0.132032
1984-04-24,0.133693
1984-04-25,0.131202
1984-04-26,0.132863
1984-04-27,0.132032
1984-04-30,0.132863
1984-05-01,0.131617
1984-05-02,0.134108
1984-05-03,0.134939
1984-05-04,0.134108
1984-05-07,0.136184
1984-05-08,0.136184
1984-05-09,0.140336
1984-05-10,0.138676
1984-05-11,0.133278
1984-05-14,0.132032
1984-05-15,0.131617
1984-05-16,0.131202
1984-05-17,0.130787
1984-05-18,0.128711
1984-05-21,0.128296
1984-05-22,0.132032
1984-05-23,0.12788
1984-05-24,0.124559
1984-05-25,0.122898
1984-05-29,0.122068
1984-05-30,0.125804
1984-05-31,0.125389
1984-06-01,0.130372
1984-06-04,0.1366
1984-06-05,0.137845
1984-06-06,0.140336
1984-06-07,0.141167
1984-06-08,0.138676
1984-06-11,0.13743
1984-06-12,0.13743
1984-06-13,0.137015
1984-06-14,0.137845
1984-06-15,0.13826
1984-06-18,0.144488
1984-06-19,0.146149
1984-06-20,0.14864
1984-06-21,0.146149
1984-06-22,0.148225
1984-06-25,0.144488
1984-06-26,0.145319
1984-06-27,0.143243
1984-06-28,0.144073
1984-06-29,0.141167
1984-07-02,0.140336
1984-07-03,0.14781
1984-07-05,0.145319
1984-07-06,0.144488
1984-07-09,0.145734
1984-07-10,0.146149
1984-07-11,0.146149
1984-07-12,0.142828
1984-07-13,0.142412
1984-07-16,0.142828
1984-07-17,0.142828
1984-07-18,0.140752
1984-07-19,0.137845
1984-07-20,0.134108
1984-07-23,0.130372
1984-07-24,0.133693
1984-07-25,0.134523
1984-07-26,0.134939
1984-07-27,0.1366
1984-07-30,0.140336
1984-07-31,0.146149
1984-08-01,0.149471
1984-08-02,0.156114
1984-08-03,0.151131
1984-08-06,0.150301
1984-08-07,0.156944
